	GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
1	460319006	20140824	201408	2014	2014.6411	CVL	RESIDENTS						CVL			CHN	CHINA	CHN								0	111	111	11	3	-2.0	16	2	16	-2.61454593018594	4	Beijing, Beijing, China	CH	CH22	39.9289	116.38799999999999	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.38799999999999	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.38799999999999	-1898541	20150824	http://www.businesstimes.com.sg:80/government-economy/hong-kong-cant-escape-the-turmoil-next-door-editorial
2	460319007	20140824	201408	2014	2014.6411	CVL	RESIDENTS						CVL			CHN	CHINA	CHN								0	111	111	11	3	-2.0	4	2	4	-2.61454593018594	1	Hong Kong	HK	HK	22.25	114.167	HK	4	Beijing, Beijing, China	CH	CH22	39.9289	116.38799999999999	-1898541	1	Hong Kong	HK	HK	22.25	114.167	HK	20150824	http://www.businesstimes.com.sg:80/government-economy/hong-kong-cant-escape-the-turmoil-next-door-editorial
16	460319021	20150725	201507	2015	2015.5616	CHN	CHINA	CHN																		1	10	10	1	1	0.0	128	31	124	-2.14584032263617	4	Jingzhou, Guangdong, China	CH	CH30	23.6238	116.93299999999999	-1912532	0							4	Jingzhou, Guangdong, China	CH	CH30	23.6238	116.93299999999999	-1912532	20150824	http://theworldlink.com/news/world/asia/that-sinking-feeling-as-china-slows-so-does-otis-elevator/article_c2dab74b-bdde-5cba-90a2-a17a8cac8c03.html
31	460319036	20150817	201508	2015	2015.6219	CHN	CHINESE	CHN								TWN	TAIWAN	TWN								1	46	46	4	1	7.0	5	1	5	-1.4888337468982602	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	20150824	http://www.zerohedge.com/?page=6&name=WhyDoesItHurtWhen%20iPee&form_build_id=form-5f817e66479464690289bee67b20b2d6&form_id=user_login_block&feed_me=&op=Log%20in
51	460319056	20150817	201508	2015	2015.6219	TWN	TAIWAN	TWN								CHN	CHINESE	CHN								1	46	46	4	1	7.0	5	1	5	-1.4888337468982602	1	United States	US	US	38.0	-97.0	US	1	United States	US	US	38.0	-97.0	US	1	United States	US	US	38.0	-97.0	US	20150824	http://www.zerohedge.com/?page=6&name=WhyDoesItHurtWhen%20iPee&form_build_id=form-5f817e66479464690289bee67b20b2d6&form_id=user_login_block&feed_me=&op=Log%20in
110	460319115	20150824	201508	2015	2015.6411											CHN	CHINA	CHN								1	42	42	4	1	1.9	183	10	103	0.682145607023692	0							4	Wolong, Jilin, China	CH	CH05	43.2509	129.632	10869914	4	Wolong, Jilin, China	CH	CH05	43.2509	129.632	10869914	20150824	http://www.winknews.com/2015/08/23/panda-gives-birth-to-twins-at-national-zoo/
111	460319116	20150824	201508	2015	2015.6411											CHN	CHINESE	CHN								1	43	43	4	1	2.8	570	57	493	-0.170730742383012	0							1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	20150824	http://gulfnews.com/guides/calendar/leisure/swan-lake-acrobatic-ballet-1.1571217
112	460319117	20150824	201508	2015	2015.6411											CHN	CHINA	CHN								1	190	190	19	4	-10.0	2	1	2	-1.54291224686596	0							1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	20150824	https://www.psychologytoday.com/blog/whats-in-name/201508/the-history-and-psychology-warrior-women
619	460319624	20150824	201508	2015	2015.6411	BUS	INVESTOR						BUS			CHN	SHANGHAI	CHN								0	42	42	4	1	1.9	20	2	20	-4.08537005974322	4	Kunming, Yunnan, China	CH	CH29	25.0389	102.71799999999999	-1913826	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Kunming, Yunnan, China	CH	CH29	25.0389	102.71799999999999	-1913826	20150824	http://www.zerohedge.com/news/2015-08-23/angry-chinese-investors-capture-head-metals-exchange-predawn-hotel-raid
670	460319675	20150824	201508	2015	2015.6411	CHN	CHINA	CHN																		0	10	10	1	1	0.0	2	1	2	-0.53243936107276	4	Delingha, Qinghai, China	CH	CH06	37.376	97.3746	-1903179	0							4	Delingha, Qinghai, China	CH	CH06	37.376	97.3746	-1903179	20150824	http://www.ancient-origins.net/comment/13110
